,roles,companies,locations,experience,skills,Dates,PresentDate,salary
36,Accounts Receivable - Collection Experience - On field - Contractual,A client of Randstad,"Noida, Pune, Mumbai (All Areas)(Powai)",1-2 Yrs,Acounts Receivable callerAccounts ReceivableAccountingContractsCollectionsFieldCallingReceivable,4 Days Ago,2024-11-24,2.5-3.5 Lacs PA
37,Scientific Business Manager - Oncology,Cipla,"Pune, Jaipur, Mumbai (All Areas)",3-8 Yrs,SalesOncologyBusiness DevelopmentPharmaceutical SalesPharmaceuticalDevelopmentManagementScience,4 Days Ago,2024-11-24,Not disclosed
38,Senior Statistical Programmer,AstraZeneca India Pvt. Ltd,Bengaluru,3-8 Yrs,CROAutomationProject managementXMLSocial mediaClinical trialsHealthcareLife sciences,3 Days Ago,2024-11-24,Not disclosed
39,Statistical Programmer,AstraZeneca India Pvt. Ltd,Bengaluru,3-5 Yrs,AutomationXMLSocial mediaPharmaClinical trialsHealthcareLife sciencesSAS Programming,3 Days Ago,2024-11-24,Not disclosed
40,"Sr. Resident, Joint Replacement Centre",Sir Ganga Ram Hospital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,opdemergency medicinecritical careorthopedicsmedicinenursinggeneral medicinehealthcare,1 Day Ago,2024-11-24,Not disclosed
41,Territory Business Manager | Osvita | Thrissur,Abbott,Bengaluru,1-14 Yrs,TrainingBrand AmbassadorPharmaAnalyticalRelationship buildingSupervisionSalesforcePharmaceutical,5 Days Ago,2024-11-24,Not disclosed
42,Trainee Territory Sales Executive - Nutrition,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,RetailPayrollStock replenishmentNutritionComplianceTerritory Sales ExecutiveFMCGMerchandising,30+ Days Ago,2024-11-24,Not disclosed
43,Senior Officer - Packing,Cipla,Rangpo,6-9 Yrs,AnalystSAPAnalyticalSocial networkingPackagingJunior OperatorPacking OperatorAdvertising,5 Days Ago,2024-11-24,Not disclosed
44,Sales Representative I - EMID,Medtronic,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Direct salesMarket developmentSales strategySalesSales RepresentativeManager TechnologyHealthcareMarket research,30+ Days Ago,2024-11-24,Not disclosed
45,Category Intelligence,Novo Nordisk,Bengaluru,6-8 Yrs,ProcurementBusiness servicesFinancial planningMarket intelligenceStrategic sourcingpower biMarket researchSpend analysis,5 Days Ago,2024-11-24,Not disclosed
46,Business Development Manager,The Orange Health,Gurugram,1-5 Yrs,SalesDiagnosticsBankingHealthcareSales processDoctorBusiness developmentDevelopment,2 Days Ago,2024-11-24,Not disclosed
47,Business Development Manager,Orange Healthcare,Gurugram,1-5 Yrs,SalesDiagnosticsBankingHealthcareSales processDoctorManagementBusiness development management,2 Days Ago,2024-11-24,Not disclosed
48,IT Validation,Novo Nordisk,Bengaluru,10-20 Yrs,Business servicesSystem managementSecurity managementInfrastructure managementProject managementPharmaHealthcareSubject Matter Expert,5 Days Ago,2024-11-24,Not disclosed
49,Resident/Senior Resident-Emergency Medicine,Fortis,Bengaluru(Nagarbhavi),0-5 Yrs,Emergency MedicineMEMDNBFellow ActivitiesMedicineEmergencySenior,14 Days Ago,2024-11-24,10-12 Lacs PA
50,Software Engineer II,Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,cssconfluenceweb applicationunit testingbitbucketjqueryreact.jsapache,3 Days Ago,2024-11-24,Not disclosed
51,REGISTRAR - ORTHOPAEDICS,Wockhardt Hospitals,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,opdprotoolsemergency medicinecustomer servicecritical caresound editingmedicinenursing,30+ Days Ago,2024-11-24,Not disclosed
53,Lead Engineer Mechanical Component,GE India Ltd,Bengaluru,4-8 Yrs,engineleadershipdesignpresentation skillscreativitycommunication skillsComponentsMechanical engineering,5 Days Ago,2024-11-24,Not disclosed
54,Apprentice Production,Mankind Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,quality controlproductionbusiness developmentsalesproduction managementmarketingmanpower handlingoperations,10 Days Ago,2024-11-24,Not disclosed
55,Apprentice Production,Mankind Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,project managementstrategic thinkingteam managementproductionproblem analysisleadershipleadership skillsmanufacturing,11 Days Ago,2024-11-24,Not disclosed
56,DNB /DM - Cardiology(Fresher),Narayana Health (NH),"Mysuru, Bangalore/Bengaluru",0-5 Yrs,CardiologistDNB CardiologyInterventional CardiologyDM CardiologycardiologyDNBDm,15 Days Ago,2024-11-24,25-40 Lacs PA
57,Senior Clinical Data Manager,Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,Statistical programmingCROData managementClinical trialsContinuous improvementForecastingOperationsInformation technology,3 Days Ago,2024-11-24,Not disclosed
58,Territory Business Manager,Iberia Pharmaceuticals,"Hyderabad, Pune, Mumbai (All Areas)",2-5 Yrs,DermatologydermaCosmetologyTerritory managementManagementTerritory,1 Day Ago,2024-11-24,Not disclosed
60,Sales Executive,VISION RX LAB,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,TrainingService levelSalesSales HRRegional salesManager Quality ControlSales ExecutiveSales training,30+ Days Ago,2024-11-24,Not disclosed
61,Operator Trainee - 6,Kimberly-Clark Corporation,Pune,0-2 Yrs,KaizenLean manufacturingQuality systemsShop floorMISPackagingGMPTroubleshooting,4 Days Ago,2024-11-24,Not disclosed
62,Clinical Documentation/Clinical Verification(Order Process Specialist),Medtronic,Pune,5-9 Yrs,Medical DocumentationUS HealthcareDocument VerificationMedical TranscriptionClinical Data DocumentationMedical RecordsMedical ScribeMedical Record Review,2 Days Ago,2024-11-24,Not disclosed
63,Homecare RMO,MOC CANCER CARE & RESEARCH CENTRE,"Pune(Pimpri Colony +1), Mumbai (All Areas)(Thane West)",3-8 Yrs,Palliative CareRmo,8 Days Ago,2024-11-24,3-4.5 Lacs PA
64,Medical Record Executive,Life Sciences IT Consulting Hiring,"Hybrid - Bengaluru, Delhi / NCR, Mumbai (All Areas)",0-5 Yrs,PharmaceuticalLife SciencesHealthcarepharmaBiotechnologyMicrobiologyClinical OperationsMedical Records,2 Days Ago,2024-11-24,Not disclosed
65,Senior Nutrition Sales Executive - Raipur,Abbott,Mumbai,5-12 Yrs,customer segmentationConsultative salesNutritionPatient careAccount managementCustomer engagementNutrition Sales ExecutiveBrand building,3 Days Ago,2024-11-24,Not disclosed
66,Digital Marketing Manager (From Pharma Company),Dermis Oracle Pvt Ltd,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",8-10 Yrs,Marketing StrategyDigital MarketingBrand MarketingBrand ManagementMarketing ManagementDigital StrategyMarketing Communication PlanningMarketing Communication,3 Days Ago,2024-11-24,15-16 Lacs PA
67,Analytical Researcher II,Watson Pharama,Mumbai,6-9 Yrs,Analytical chemistrySelection processEHSCompliancePharmaQuality systemsReconciliationGLP,3 Days Ago,2024-11-24,Not disclosed
68,Product Manager,Meril,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",10-18 Yrs,Sales StrategyMarketing StrategySales And MarketingMarketing CampaignsProduct LaunchLaunchSalesMarketing,6 Days Ago,2024-11-24,6-8 Lacs PA
69,Staff Nurse,MOC CANCER CARE & RESEARCH CENTRE,"Pimpri-Chinchwad, Pune(Kalyani Nagar +1)",4-9 Yrs,OncologyChemotherapyCritical CareICU,1 Day Ago,2024-11-24,3-4.5 Lacs PA
70,Senior Manager - Learning and Development,Dermis Oracle Pvt Ltd,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",8-12 Yrs,Learning And DevelopmentTraining Need AnalysisProcess TrainingTraining And DevelopmentSoft Skills TrainingCorporate TrainingTraining ManagementSales Training,3 Days Ago,2024-11-24,10-15 Lacs PA
71,Human Resource- Training and Development,Wockhardt Hospitals,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",3-8 Yrs,Training And DevelopmentTraining Need AnalysisLearning And DevelopmentTraining DeliveryDevelopmentNeed analysisDevelopmentDelivery,5 Days Ago,2024-11-24,Not disclosed
72,Resident Medical Officer,Wockhardt Hospitals,"Mumbai Suburban, Mumbai (All Areas)",0-5 Yrs,RmoicuMedical,14 Days Ago,2024-11-24,Not disclosed
73,General Manager - CMD Service,Thermo Fisher Scientific,Mumbai,12-15 Yrs,qualitative analysisservice operationsTechnical service managementquantitative analysiscustomer supportAnalysisOperationsGeneral management,1 Day Ago,2024-11-24,Not disclosed
74,BHMS/BAMS Doctors - Raipur/Juhu and Indore,Randstad,"Mumbai, Indore, Raipur",3-6 Yrs,Doctor ActivitiesBac,3 Days Ago,2024-11-24,4-9 Lacs PA
75,Territory Manager,Dr Reddys Path Labs,"Baramati, Pune",5-6 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,2 Days Ago,2024-11-24,Not disclosed
76,Financial Analyst II,Thermo Fisher Scientific,Mumbai,4-5 Yrs,ERP systemfinancial analysisworking capital managementchartered accountantcustomer service orientationforecastingfinancial reportinghyperion planning,1 Day Ago,2024-11-24,Not disclosed
77,Key Accounts Manager,AstraZeneca India Pvt. Ltd,Mumbai,6-18 Yrs,Analytical skillsCustomer managementSalesBusiness leadershipSocial mediaPharmaOncologyHealthcare,3 Days Ago,2024-11-24,Not disclosed
78,Enterprise DevOps Engineer (LSMV/LSRA Config Expert),Hoffmann-La Roche,Pune,3-7 Yrs,IT servicesBackendRegulatory reportingAnalyticalproduct life cycleHealthcareCustomer servicePharmacovigilance,2 Days Ago,2024-11-24,Not disclosed
79,Executive / Senior Executive - Patient Relations,P D Hinduja Hospital and Medical Research Centre (HNH),Mumbai(Khar West),1-5 Yrs,Patient CareCommunication SkillsPatient CounsellingGuest RelationsPatient RelationsMISPatient SafetyCustomer Care,6 Days Ago,2024-11-24,2.5-4 Lacs PA
80,Tpa Coordinator,MOC Cancer Care & Research Centre,"Mumbai(Ghatkopar West), Mumbai (All Areas)",2-7 Yrs,TPACGHSMediclaimGIPSACashless ClaimsMedicalClaims,3 Days Ago,2024-11-24,3-4.5 Lacs PA
81,Pharmacist and Counter salesman,Star Medical And General Stores,Mumbai,0-1 Yrs,Counter SalesSalesPharmacy,6 Days Ago,2024-11-24,2.16-2.64 Lacs PA
82,Business Executive,Merck,"Mumbai, Navi Mumbai",1-3 Yrs,BasicSalesPharmaPharmacyProduct portfolioqueryHealthcareBusiness Executive,4 Days Ago,2024-11-24,Not disclosed
83,Business Executive (Location: Pan India) 2,Merck,Mumbai,1-3 Yrs,SalesPharmaProduct portfolioqueryHealthcareBusiness ExecutivePortfolioPan,5 Days Ago,2024-11-24,Not disclosed
84,"Territory Sales Executive/Manager- Mumbai (Vashi, Mumbai",Dr Lal PathLabs,"Mumbai, Thane, Navi Mumbai",1-4 Yrs,SalesBTL CampsFranchisee Managementdiagnostic salesdoctor callsdoctor visitBtl Marketingdoctor camps,5 Days Ago,2024-11-24,3-4.25 Lacs PA
85,Marketing Officer DTC,Wockhardt Hospitals,Mumbai Suburban,1-5 Yrs,Direct MarketingB2B Marketingdirect customer marketingCampaignsDirectB2BCustomer MarketingMarketing,5 Days Ago,2024-11-24,Not disclosed
86,Field Clinical Coordinator- Maharashtra,2coms,Mumbai,1-6 Yrs,field coordinationteam managementmrproductioncustomer servicengossnursingplant operations,3 Days Ago,2024-11-24,2-3 Lacs PA
87,Senior Executive - Patents,Abbott,Mumbai,3-5 Yrs,General CounselAdministrationDue diligencePharmaPatent draftingIntellectual propertyLicensingmicrosoft,5 Days Ago,2024-11-24,Not disclosed
88,Medical Engineer,Thyrocare,"Mumbai Suburban, Thane, Navi Mumbai",1-3 Yrs,Biomedical EngineeringHealth Care ServicesInstrumentsMedical DevicesLab InstrumentsMedical InstrumentsMedical EquipmentDevices,3 Days Ago,2024-11-24,Not disclosed
89,Area Business Manager-Victora,Abbott,Mumbai,5-10 Yrs,Direct salesSupply chainPharmaCustomer serviceBusiness strategyPharmacovigilanceManagementMS Office,4 Days Ago,2024-11-24,Not disclosed
90,Assistant Manager - Patents,Abbott,Mumbai,5-8 Yrs,General CounselOrganic chemistryPharmaPatent draftingIntellectual propertySupport servicesMonitoringPatent search,5 Days Ago,2024-11-24,Not disclosed
91,Assistant Manager - Learning and Development (From Pharma Company),Dermis Oracle Pvt Ltd,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",4-7 Yrs,Learning And DevelopmentTraining Need AnalysisProcess TrainingTraining And DevelopmentSoft Skills TrainingLeadership TrainingLearning ManagementTraining Management,3 Days Ago,2024-11-24,10-12 Lacs PA
92,Country Brand Manager (CNS),Pfizer,Mumbai,6-14 Yrs,NeurologyBrand managementsparkPharmaFinanceHealthcareMarket researchdigital strategy,5 Days Ago,2024-11-24,Not disclosed
93,Hospital Business Manager - Virology,Cipla,"Kolkata, Mumbai (All Areas)",4-8 Yrs,HIVPharmaceutical SalesPharma MarketingHospitalSalesPharmaceuticalMarketingManagement,4 Days Ago,2024-11-24,Not disclosed
94,Associate Faculty - Radiology,Tech Mahindra SMART Academy,Mumbai,3-4 Yrs,TrainingCounsellorInterpersonal skillsBlog writingAssociate FacultyRadiologyHealthcareMentor,5 Days Ago,2024-11-24,Not disclosed
95,Territory Manager,Dr Reddys Path Labs,Mumbai,5-6 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,4 Days Ago,2024-11-24,Not disclosed
96,Scientific Business Manager : Immunology,Cipla,"Kolkata, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,pharmaceutical salesdermatologyImmunologyrheumatologyPulmonologyGastroenterologyOrthodontologySales,4 Days Ago,2024-11-24,Not disclosed
97,Associate Faculty - ECA,Tech Mahindra SMART Academy,Mumbai,3-8 Yrs,TrainingCounsellorInterpersonal skillsNursingConsultingMentorICUHoD,5 Days Ago,2024-11-24,Not disclosed
98,"Manager, Statistical Data Sciences Lead",Pfizer,Mumbai,7-10 Yrs,project managementsaswritingstatistical programmingclinical datacommunication skillsScienceProgramming,5 Days Ago,2024-11-24,Not disclosed
99,QC Chemist / Formulation /API/ B.pharmacy / M.pharmacy /M.sc Chemistry,J J Consultants,"Kochi/Cochin, Visakhapatnam, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",0-5 Yrs,Wet AnalysisQuality ControlQualityQCChemistryAPIAnalysisFormulation,1 Day Ago,2024-11-24,5-13 Lacs PA
100,Quality Assurance - Q.a/urgent Requirement /API /formulation/freshers,J J Consultants,"Kochi/Cochin, Visakhapatnam, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",0-4 Yrs,Take internal audits.Prepare & review SOP of QA & Other DeptQuality assuranceRequirementsQualityReviewInternal auditAssurance,1 Day Ago,2024-11-24,4.5-8.5 Lacs PA
101,Ayurvedic Doctor,Health Total,Mumbai,4-6 Yrs,nutraceuticalsAyurvedic DoctorqueryConsultingFounder DirectorWellnessMentorDoctor,30+ Days Ago,2024-11-24,Not disclosed
102,Walk In Interview For OPD - Front Desk at Fortis Hospital Kalyan,Fortis,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",25 Nov - 04 Dec,bpoFront Officecustomer carereceptionistOPDFront Deskout patientReception,14 Days Ago,2024-11-24,Not disclosed
103,JUNIOR PHARMACIST,Aditya Pharmacy,"Vijayawada, Hyderabad, Chennai, Bengaluru",0-2 Yrs,MedicineHealthDispensingHealthcarePharmacistPharmacy,30+ Days Ago,2024-11-24,Not disclosed
104,PHARMACY CASHIER,Aditya Pharmacy,"Vijayawada, Hyderabad, Chennai, Bengaluru",0-2 Yrs,Customer ServiceCashierPharmacyCashier activities,30+ Days Ago,2024-11-24,Not disclosed
105,Speech Therapist,Kokilaben Dhirubhai Ambani Hospital,Mumbai Suburban,0-3 Yrs,MASLPBASLPSpeech TherapySpeech,12 Days Ago,2024-11-24,Not disclosed
106,Territory Sales Manager,Metropolis Healthcare,Hybrid - Mumbai Suburban,0-2 Yrs,Communication SkillsTeam BuildingConvincing PowerStrong Interpersonal SkillsLeadership SkillsTerritory sales managementSalesTeam,11 Days Ago,2024-11-24,4-4.5 Lacs PA
107,Staff Nurse- Max Healthcare (Max@Home) - Mumbai,Max Healthcare,"Mumbai, Mumbai (All Areas)",0-5 Yrs,B.ScNursingCCNAnmCcuGNMICUHealthcare,10 Days Ago,2024-11-24,Not disclosed
108,Software Test Engineer III,Abbott,Mumbai,2-6 Yrs,IT servicesManagementIndividual ContributorCRMTestingIIISoftwareSoftware testing,7 Days Ago,2024-11-24,Not disclosed
109,Senior House Officer,Narayana Hrudayalaya Private Limited,Bengaluru,0-2 Yrs,medicalemergency medicineotclinical cardiologygastrocritical careorthoorthopedics,1 Day Ago,2024-11-24,Not disclosed
110,Team Lead Medical Affairs,Cipla,Mumbai,0-4 Yrs,Md PharmacologyTeamMedicalPharmacologyMDTMedical affairs,11 Days Ago,2024-11-24,Not disclosed
111,Accountant Receivable - ON Contract Basis For 6 Months,A client of Randstad India,Mumbai(Powai),1-2 Yrs,Good English CommunicationExcelAccountingContractsCommunication skillsEnglishReceivableAccounts receivable,4 Days Ago,2024-11-24,3-3.5 Lacs PA
112,Business Development Manager,The Orange Health,Mumbai,1-4 Yrs,SalesDiagnosticsBankingHealthcareSales processMedical insuranceDoctorManagement,30+ Days Ago,2024-11-24,Not disclosed
113,Radiologist,Aashvi Infotech,"Noida, Meerut, Bengaluru",1-6 Yrs,MDMRIUSGradiologistColour DopplerRadiographyCTRadio Diagnosis,11 Days Ago,2024-11-24,20-25 Lacs PA
114,Executive/Sr Executive/Area Sales Manager,Titan Biotech,"Ahmedabad, Delhi / NCR, Mumbai (All Areas)",2-7 Yrs,Industrial Salespharma industrymicrobiological productsBiotechnologylab chemicalsMicrobiologyKey AccountsInstitutional Sales,1 Day Ago,2024-11-24,Not disclosed
115,Zonal Business Manager - Market Access/Institutional sales,Cipla,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",15-20 Yrs,Tender BusinessMarket AccessKey Account ManagementInstitutional SalesPharmaceutical SalesSalesMarketingManagement,4 Days Ago,2024-11-24,Not disclosed
116,Medical Representative,Randstad India Pvt Ltd,Mumbai(Andheri East +3),0-3 Yrs,Medical RepPharma SellingHealthcare SalesMedical SalesMedical MarketingHospital Salesmedical representativePharma Marketing,15 Days Ago,2024-11-24,2.5-3 Lacs PA
117,Zonal Sales Manager- Institutional Business,Cipla,"Mumbai, Mumbai Suburban, Navi Mumbai",10-15 Yrs,Tender BusinessMarket AccessKey Account ManagementInstitutional SalesPharmaceutical SalesAccountingManagementTendering,4 Days Ago,2024-11-24,Not disclosed
118,Cloud SW Engineer III,Abbott,Mumbai,4-6 Yrs,IT servicesCloudManagementIndividual ContributorCRMTestingSoftware testingIII,7 Days Ago,2024-11-24,Not disclosed
