,roles,companies,locations,experience,salary,Dates,PresentDate,skills
23,NICU Nurse,Cans Multi Speciality Hospital,Bengaluru,1-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,NICUNurseNursing
24,ICU Nurse,Cans Multi Speciality Hospital,Bengaluru,1-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,ICU NurseNursingICU
25,Senior Associate Quality Complaints,Amgen Inc,Hyderabad,7-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,Quality Assuranceproject managementDevice manufacturing processesQMSAPIManufacturing ProcessesQualityComplaints
26,Principal SAP Architect - Supply Chain Data & Analytics,Amgen Inc,Hyderabad,14-18 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSAP QMSAP SDSAP MMMaster data managementData AnalyticsSupply ChainSAP WM
27,"Manager, Economic Modeling",Sandoz,"Warangal, Hyderabad, Nizamabad",5-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,Project managementBusiness analyticsPharmaAnalyticalMarket researchBusiness solutionsDigital marketingStakeholder management
28,Clinical Data Engineer,Eli Lilly And Company,Bengaluru,7-12 Yrs,Not disclosed,3 Days Ago,2024-11-24,System testingBusiness analysisPostgresqlMySQLHealthcareOracleApacheAnalytics
29,Regulatory Writing Manager,Amgen Inc,Hyderabad,10-14 Yrs,Not disclosed,4 Days Ago,2024-11-24,Regulatory Writingproject managementGCPclinical researchregulatory PlanningICHRegulatoryManagement
30,P2P Product Team Senior Associate Finance,Amgen Inc,Hyderabad,7-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,P2PSAP ECCALMSAPSAP S4 HanaUATTeamSAP S Hana
31,Associate IS Security Engineer,Amgen Inc,Hyderabad,4-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,security orchestrationAzureGCPcloud infrastructureAgile methodologySOARBashtechnical documentation
32,"Specialist SAP Architect, Indirect Tax",Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSAP ECCKanbanSAP Material LedgerScrumSAP S/4HANASMaterials
33,Senior Manager - Software Engineering,Amgen Inc,Hyderabad,14-18 Yrs,Not disclosed,4 Days Ago,2024-11-24,Software EngineeringAzureproject managementTDDdata securityJavaScriptNode.jsReact
34,Technical Product Owner - Manufacturing Systems,Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,Product ManagementProduct Developmentsystems integrationsCOTSMESSAFeAWSManufacturing
35,Senior Manager Product Management & Go To Market(GTM),Amgen Inc,Hyderabad,10-14 Yrs,Not disclosed,4 Days Ago,2024-11-24,Product ManagementGTMSoftware DevelopmentAgile methodologiesProduct AnalysisScrumSAFeSDLC
36,Lead Engineer/Manager: Hardware-Software Embedded system Integration,Sprintray,Hyderabad,6-11 Yrs,Not disclosed,3 Days Ago,2024-11-24,C++Communication protocolsSystem integrationAgileRegression testingLabviewFirmwareSPI
37,SAP Analytics Product Owner,Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAP AnalyticsSAPData MartSAP /4HANA analyticsdata governanceUATData LakeData Warehousing
38,SAP Scrum Master,Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSAP agile deliveryproject managementDevOpsTest AutomationEnterprise Resources PlanningSAFeAutomation testing
39,SAP Scrum Master,Amgen Inc,Hyderabad,8-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSAFe Scrum Masterproject managementDevOpsTest AutomationConfluenceScrum MasterJira
40,Registered Pharmacist,Telerad Rxdx,Bengaluru,1-4 Yrs,Not disclosed,4 Days Ago,2024-11-24,PharmaRegistrationPharmaceuticalPharmacy
41,Specialist - Change Management,Sanofi,Hyderabad,1-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,BPOAutomationChange managementPublishingOperational riskPharmaHealthcareCRM
42,"LDC Adopt Mgr. Logistics, W&D APMAJC",Sandoz,Hyderabad,4-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,ProcurementOrder managementSupply chain managementBusiness transformationProject managementDeploymentHSEGMP
43,LDC Adopt Manager Demand and Supply APMAJC,Sandoz,Hyderabad,4-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,ProcurementOrder managementSupply chain managementChange managementBusiness transformationSales operationsProject managementRisk management
44,Analyst- Cash Collections,Sigma Aldrich Chemicals,Bengaluru,1-3 Yrs,Not disclosed,4 Days Ago,2024-11-24,Senior AnalystSeniorCashAnalysisCollectionsCash collection
45,Analyst,Sigma Aldrich Chemicals,Bengaluru,1-3 Yrs,Not disclosed,4 Days Ago,2024-11-24,Senior AnalystSeniorAnalysis
46,"Senior Analyst- Data Analyst, SAP BODS",Sigma Aldrich Chemicals,Bengaluru,1-3 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSenior AnalystData AnalystSeniorBodData analysisBodsData
47,Senior Procurement Specialist,Perceptive,Hyderabad,4-6 Yrs,Not disclosed,4 Days Ago,2024-11-24,Supply chainProcurementChange managementContract managementProject managementRisk assessmentMarket intelligenceStrategic sourcing
48,MBS FP&A Leader - Life Sciences,Sigma Aldrich Chemicals,Bengaluru,2-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Life sciencesMBSScienceFPALeadership
49,Executive/Senior Executive,Arcolab,"Chennai, Bengaluru",4-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,Senior Executive
50,P&O Technology Product Owner PTD&I,Sandoz,Hyderabad,4-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Service managementBusiness servicesPayrollPerformance managementTalent acquisitionHRISData qualityInformation management
51,State Manager,Criyagen Agri & Biotech,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",5-10 Yrs,Not disclosed,4 Days Ago,2024-11-24,BiotechnologyManagement
52,Associate Architect,Sigma Aldrich Chemicals,Bengaluru,11-16 Yrs,Not disclosed,4 Days Ago,2024-11-24,Associate ArchitectArchitecture
53,P&O Technology Product Expert,Sandoz,Hyderabad,4-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,Service managementBusiness servicesPayrollChange managementService levelPerformance managementTalent acquisitionHRIS
54,Physician - MD ( General Medicine ),Onemedpro,Bengaluru,1-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Quality improvementSurgicalDiagnosticsMedical DoctorPatient careHealthcareResearchMonitoring
55,Key Account Manager,Sigma Aldrich Chemicals,Hyderabad,3-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Key Account ManagerKeyKey account managementKey accountsManagementAccounting
56,Business Development Manager Bengaluru Jardiance & Combinations,Boehringer Ingelheim,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",5-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,market penetrationrelationship buildingbusiness development managementbusiness developmentsales processsellingsalesPenetration
57,Key Account Project Manager,Sandoz,Hyderabad,5-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,AdministrationInterpersonal skillsProject managementPharmaHealthcareAccount managementCompetitive intelligenceProject delivery
58,Senior UiPath Developer,Sigma Aldrich Chemicals,Bengaluru,4-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,Senior UiPath DeveloperUipathDevelopmentSenior
59,Expert SAP GTS,Sigma Aldrich Chemicals,Bengaluru,6-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPGTS
60,Analyst - Capabilities and Operations,Sanofi,Hyderabad,1-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,Change managementPublishingOperational riskProject managementSocial mediaPharmaMarket researchHealthcare
61,Project Associate I,Iqvia Biotech,Bengaluru,1-4 Yrs,Not disclosed,4 Days Ago,2024-11-24,SCRSQRReconciliationGTSHealthcareClinical researchAuthorLife sciences
62,Manager - Web Search,Sanofi,Hyderabad,2-4 Yrs,Not disclosed,4 Days Ago,2024-11-24,AutomationWeb analyticsSocial mediaSchemaHealthcareHTMLSEMSEO
63,Analyst - HCP Campaign Operations,Sanofi,Hyderabad,1-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,AutomationPublishingProject managementSocial mediaHealthcareLife sciencesFMCGDigital marketing
64,"LCCI Associate/Sr Associate Consultant, Clinical Trial Foundations",Eli Lilly And Company,Bengaluru,2-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,CROData analysisAutomationProcess improvementData collectionHealthcareOracleData mining
65,Project Specialist - Medical Events,Sanofi,Hyderabad,1-3 Yrs,Not disclosed,4 Days Ago,2024-11-24,InchargeData managementEvent managementProject managementConsultingEquityLife sciencesCustomer service
66,CH - Staff Nurse ER,Care Hospital,Hyderabad,1-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,Staff NurseERCh
67,Regulatory Affairs Global Labeling Lead,Iqvia Biotech,Bengaluru,3-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,PharmaClinical researchHealthcareLife sciencesGermanSpanishManager Quality ControlRegulatory affairs
68,Senior Analyst - HCP Campaign Operations,Sanofi,Hyderabad,1-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,PublishingOperational excellenceProject managementBusiness analyticsHealthcareHTMLLife sciencesFMCG
69,Senior Specialist P2P,Sandoz,Hyderabad,4-6 Yrs,Not disclosed,4 Days Ago,2024-11-24,data cleansingData analysisSAPNetworkingFinancial accountingProcess improvementDiversity and InclusionBanking operations
70,Manager - Project Finance,Iqvia Biotech,Bengaluru,5-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,Project financeFinancial analysisCash flow managementBillingRevenue recognitionGAAPPeopleSoftHealthcare
71,Senior Security Engineer,Providence College Of Engineering,Hyderabad,3-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,AutomationPowershellInformation securityShell scriptingDNSSIEMHealthcareInformation technology
72,Associate Project Manager - Medical Affairs,Sanofi,Hyderabad,5-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,AdministrationChange managementProject managementAnalyticalConsultingProject planningMS OfficeOperations
73,Manager - HCP Campaign Operations,Sanofi,Hyderabad,11-13 Yrs,Not disclosed,4 Days Ago,2024-11-24,Campaign managementBusiness analyticsSocial mediaHealthcareAccount managementLife sciencesStakeholder managementCRM
74,Senior Specialist - Change Management,Sanofi,Hyderabad,2-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,BPOAutomationChange managementPublishingOperational riskPharmaHealthcareCRM
75,"Enterprise Technology, Architect, and Innovation Lead",Eli Lilly And Company,Bengaluru,2-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,AutomationProject managementInformation securityAgileHealthcareSystem designScrumInformation technology
76,Sr Patch and Performance Engg,Providence College Of Engineering,Hyderabad,3-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,VMwareIISDisaster recoveryManager TechnologyActive directoryDNSTroubleshootingVirtualization
77,Program and Project Lead,Sanofi,Hyderabad,5-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Service managementAgileEquitydata privacyRisk managementJIRAProgram governanceProject Leader
78,Principal Statistical Programmer,Precision For Medicine,Bengaluru,3-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Statistical programmingData managementDiagnosticsProject managementStandard operating proceduresClinical researchOncologySAS Programming
79,Sr Integration Developer,Illuminz,Bengaluru,5-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,ERPMS SQLSAPSOAXMLXSLTmicrosoftMiddleware
80,Executive SSC - Finance (F/M/D),Freudenberg Medical,Bengaluru,2-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,BPOFinancial statementsFinancial reportingAccountingDiversity and InclusionICWAGAAPCommerce
81,"Automation Tester (C#,Dot Net)",Siemens Healthcare,Bengaluru,1-4 Yrs,Not disclosed,4 Days Ago,2024-11-24,automation frameworkLINQLinuxTest executionAgileTest scenariosHealthcareWCF
82,Data Scientist Manager-Supply Chain Planning,DANAHAR CORPORATION,Bengaluru,1-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Supply chainOperations researchAnalyticalHealthcareLife sciencesPredictive modelingMedical insuranceOpen source
83,Data Engineer Manager-Supply Chain Planning(Oracle EBS),DANAHAR CORPORATION,Bengaluru,1-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Supply Chain ManagerERPSupply chain planningAgileOracleSSISInformation technologyAnalytics
84,QA & Testing Associate Analyst,Cigna,Bengaluru,2-4 Yrs,Not disclosed,4 Days Ago,2024-11-24,Manager Quality AssuranceFunctional testingAgileHealthcareHTMLSeleniumJIRAPython
85,Process Engineer,Aurigene Pharmaceutical Services,Hyderabad,2-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,Interpersonal skillsProcess improvementAnalyticalWorkflow managementManager Quality ControlTroubleshootingMonitoringImprovement
86,Senior IAM Engineer,Providence College Of Engineering,Hyderabad,3-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,BackendCodingDatabase designAgileHealthcare.NetContinuous improvementPWD
87,Project Manager - Access To Care,Siemens Healthcare,Bengaluru,6-13 Yrs,Not disclosed,4 Days Ago,2024-11-24,Project reportsNetworkingProject managementRegulatory complianceManager Quality ControlRisk managementSCMStakeholder management
88,Lead SDET Engineer,Providence College Of Engineering,Hyderabad,6-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,Product managementAutomationManual testingManager Quality AssuranceTesting toolsTest planningSeleniumTest cases
89,Senior Service Engineer,Providence College Of Engineering,Hyderabad,3-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,NetworkingVPNWANNetwork monitoringLANHealthcareLoad balancingPWD
90,Sr App Packaging Engg,Providence College Of Engineering,Hyderabad,3-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,VMwareIISDisaster recoveryManager TechnologyActive directoryDNSTroubleshootingVirtualization
91,Manager - Marketing & Communications,Maximus,Bengaluru,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,Social media marketingPublic relationsWeb analyticsEvent managementOnline marketingMarket researchSEMSEO
92,Senior Service Engineering Manager,Providence College Of Engineering,Hyderabad,4-10 Yrs,Not disclosed,4 Days Ago,2024-11-24,AutomationLinuxWANVPNLANHealthcareWindowsOperations
93,Data Engineer - Process Automation (F/M/D),Freudenberg Medical,Bengaluru,3-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Business processProcess automationBusiness AnalystMachine learningJavascriptApplication developmentNatural language processingInformation technology
94,Sr. IT Engineer - Infrastructure,Maximus,Bengaluru,3-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,UnixCompliancePostgresqlMySQLPLSQLOracleAWSRMAN
95,Team Leader - Peptide Chemistry,Aurigene Pharmaceutical Services,Bengaluru,5-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,Interpersonal skillsChemistryComplianceTime managementAnalyticalProject managementPharmaHealthcare
96,Senior IT Engineer - ServiceNow,Maximus,Bengaluru,4-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Relationship managementIT servicesCodingTime managementJavascriptAsset managementservice catalogManagement
97,Sr Integration Developer,Illumina,Bengaluru,4-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,ERPMS SQLSAPSOAXMLXSLTmicrosoftMiddleware
98,Architecture Advisor,Cigna,Bengaluru,4-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Service managementBusiness processSolution architectureEnterprise architectureFinancial planningHealthcareBusiness solutionsProject delivery
99,Software Architect,Siemens Healthcare,Bengaluru,7-16 Yrs,Not disclosed,4 Days Ago,2024-11-24,NUnitSoftware designWeb servicesDicomImage processingArchitectureDesign reviewApplication development
100,Purchase Executive,Bal Pharma,Bengaluru(Vasanth nagar),1-2 Yrs,Not disclosed,3 Days Ago,2024-11-24,Bulk Drugsvendor managementdocumentationPurchase Ordervendor auditBULKPOVendor
101,Associate /Senior Associate - QA,VIATRIS,Bengaluru,1-6 Yrs,3-6 Lacs PA,4 Days Ago,2024-11-24,IPQAParenteralSterility AssuranceInjectablesIn Process Quality AssuranceAssuranceProcess qualitySterility
102,Graphic Designer,Amaari,Hyderabad(Jubilee Hills),0-3 Yrs,18-24 Lacs PA,4 Days Ago,2024-11-24,Video EditingGraphic DesigningPhotoshopVisualiserEnglishTeluguAdobe After EffectsLogo Design
103,LMS Platform Specialist,Clario,Bengaluru,1-2 Yrs,Not disclosed,4 Days Ago,2024-11-24,TrainingE-learningContent managementHead Business DevelopmentLMSInstructional designAnalyticalManagement
104,ICU Nurse - Walk-in Drive,SCORELABS INC,Hyderabad,0-4 Yrs,2.25-3.5 Lacs PA,3 Days Ago,2024-11-24,NursingAnmBscGNMstaff nurseNurseDrivesICU
105,Staff nurses 0_3 year GNM or BSc Nursing,SCORELABS INC,Hyderabad,0-4 Yrs,2-3.25 Lacs PA,3 Days Ago,2024-11-24,NursingFreshers NursingEmergencyNurseBsc NursingOTGNMICU Nurse
106,Paediatrician,People Tree Hospitals,Bengaluru,0-2 Yrs,1-1.25 Lacs PA,4 Days Ago,2024-11-24,PediatricsPicu
107,Data Engineer Architect (F/M/D),Freudenberg Medical,Bengaluru,2-3 Yrs,Not disclosed,4 Days Ago,2024-11-24,Business processProcess automationData analysisData structuresmicrosoftTroubleshootingInformation technologySQL
108,Associate Manager-1-Data Insights and Analytics,Sandoz,Hyderabad,4-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Order managementSupply chain managementProject managementData collectionWarehouse managementGMPHSERisk management
109,Icu Registrar,People Tree Hospitals,Bengaluru,0-2 Yrs,1-1.25 Lacs PA,4 Days Ago,2024-11-24,ICUIntensive Care
110,Senior Biostatistician,Ocugen,Hyderabad(Financial District),7-9 Yrs,Not disclosed,3 Days Ago,2024-11-24,FDASASand CDISC regulatory requirementsGCPsICHRcommunication and collaboration skillsSQL
111,AI Engineer. DDIT Dev.DSAI,Sandoz,Hyderabad,3-6 Yrs,Not disclosed,4 Days Ago,2024-11-24,PrototypePharmaArtificial IntelligenceMachine learningHealthcareData qualityApacheMonitoring
112,Pharmacovigilance Specialist,Ocugen,Hyderabad(Financial District),3-8 Yrs,Not disclosed,3 Days Ago,2024-11-24,Clinical Standard-Operating ProceduresSignal detection and initiation of safety risk ManagementPharmacovigilenceGCP compliancePSURsDSURsNDACIP
113,Human Resource Business Partner,Vijaya Diagnostic Centre,Hyderabad(Madhapur +1),4-9 Yrs,4-5.5 Lacs PA,3 Days Ago,2024-11-24,HRBPBusiness PartneringPerformance ManagementManagementPerformanceResource
114,Manager/Senior Manager - QC Plasma product testing,Hetero,Hyderabad,10-19 Yrs,10-20 Lacs PA,3 Days Ago,2024-11-24,biochemical testingcell based method testsimmunochemical testingplasma testingproduct testingqualitycontrolmonographspharmacopeia
115,Associate Manager-2- Data Insights & Analytics,Sandoz,Hyderabad,6-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,Order managementSupply chain managementProject managementWarehouse managementCustomer serviceGMPHSERisk management
116,D365 Functional Consultant - Onsite opportunity,Cronus Pharma,Hyderabad(Madhapur),2-3 Yrs,Not disclosed,4 Days Ago,2024-11-24,Business processD365SupplychainManufacturingfront end applicationConfigurationtrouble shootingApplication
117,"MD Medicine,Cardiology, Gynecology, Pediatric (Part Time) in Hyderabad",FutureA,Hyderabad,5-10 Yrs,Not disclosed,3 Days Ago,2024-11-24,PediatricsMSGynecologyMDGeneral MedicineDMCardiologyPart time
118,SQL DBA,Eurofins,Bengaluru,2-4 Yrs,Not disclosed,4 Days Ago,2024-11-24,TrainingLog shippingproduct life cycleDeploymentDatabase maintenanceManagementTroubleshootingSQL DBA
119,Senior Software Engineer,Eurofins,Bengaluru,4-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Computer sciencePerformance tuningjQuerySOAJavascriptAgileScrumUnit testing
120,Front Office Executive / Billing Executive,Yoda Lifeline Diagnostics,Hyderabad,20 Nov - 24 Nov,Not disclosed,4 Days Ago,2024-11-24,HospitalityFront OfficeBillingPatient RelationsPatient careOfficeFrontRelationship
121,Inside Sales Executive,Excelra,Remote,1-2 Yrs,7-8 Lacs PA,4 Days Ago,2024-11-24,Lead GenerationMarket ResearchSalesResearchGenerationInside sales
122,Associate /Senior Associate - Production,VIATRIS,Bengaluru,2-6 Yrs,3-6 Lacs PA,4 Days Ago,2024-11-24,Vial WashingParenteralCompoundingSterileInjectablesManufacturingLyophilizationWashing
123,Job Openings For Staff Nurses in Hyderabad (Multi Speciality Hospital),FUTUREA,Hyderabad,1-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,OTStaff NurseNICUPediatricsNursingGNMICUPICU
124,Staff Nurse,Care Hospitals Group,Hyderabad(Nampally),1-3 Yrs,2.5-3 Lacs PA,4 Days Ago,2024-11-24,Nursing
125,Wanted MD / DNB / Diploma Radiology For Haryana Rajasthan & Punjab,"Well Established Multi-Specialty & Multi-Super Specialty Hospital in Haryana, Rajasthan, Punjab, H.P","HARYANA RAJASTHAN, PUNJAB HP, DELHI-NCR PERIPHERY",0-5 Yrs,Not disclosed,7 Days Ago,2024-11-24,radiologyradiologistdmrdmd radiologydnb radiologydiploma in radiologyconsultant radiologistconsultant radiology
126,IT Engineer,2d Pharmaceuticals,"Mallapur, Hyderabad",1-5 Yrs,Not disclosed,6 Days Ago,2024-11-24,Basic I.T knowledgeEngineeringMaintenanceBasicIT architecture
127,"Jobs For Biochemistry,Bioinformatics,Biology in Hyderabad",Achievers Spot,"Tirupati, Hyderabad, Kurnool",0-4 Yrs,3.25-4.5 Lacs PA,4 Days Ago,2024-11-24,biochemistrym.sc biochemistrybiotechnologyphysiotherapymedical coding internmedical coding traineenursingmedical coding executive
128,Qualification Engineer,Safety Circle,Bengaluru,3-8 Yrs,4-4.5 Lacs PA,4 Days Ago,2024-11-24,SterileAutoclaveOncologyInjectablesFillingVaccinesSealing
129,Business Development Executive,Clinikk,Bengaluru,1-6 Yrs,3-4 Lacs PA,4 Days Ago,2024-11-24,Field SalesHealthcare MarketingHealth InsuranceSalesMarketingFieldInsuranceDevelopment
130,Engineering Manager,Adia Health,Hybrid - Bengaluru,9-14 Yrs,60-85 Lacs PA,4 Days Ago,2024-11-24,Code ReviewSystem ArchitectureSystem Designteam managementPostgresqlTechnical LeadershipNode.Jsnosq
131,Annexmed / Hiring / Experienced /Surgery Coders!!!,AnnexMed,"Hyderabad, Chennai",1-6 Yrs,1.25-6 Lacs PA,4 Days Ago,2024-11-24,SurgeryMedical CodingSDSSurgery CodingGeneral SurgeryCodingHiringMedical
132,Deputy Nursing Superintendent,Rivea Vascular Institute,Hyderabad,6-10 Yrs,Not disclosed,4 Days Ago,2024-11-24,Patient CareOperation TheatreICUEmergencyOperationsNursingTheatre
133,"Senior Manager/Manager, Pharmacovigilance",Ocugen,Hyderabad(Financial District),5-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,PharmacovigilanceClinical Safety DataStrategic PlanningPV PlanningGDP CompliancesDSURsProtocolsSignal Detection
