,roles,companies,locations,experience,salary,Dates,PresentDate,skills
42,Unit HR- Ranchi,Manipal Hospitals,Ranchi,10-15 Yrs,Not disclosed,17 Days Ago,2024-11-24,engagementcorporate hrhiringresourcetraining needshuman resource managementtalent developmentperformance management system
43,Zonal Manager - Pathology Lab,Hoffmann-La Roche,Chennai,5-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,DiagnosticsBusiness analysisBusiness Development ManagerPharmaSales analysisHealthcareOncologyBudgeting
44,Therapy Business Manager,Abbott,Kolkata,1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,PharmaFinancePackagingManagementResearchOperationsSalesforcePharmaceutical
45,Therapy Business Manager- Womens Health-,Abbott,Ahmedabad,1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Product launchMedical devicesCustomer managementBrand managementPharmaHealthcareCMEMedical Representative
46,Clinical Specialist-Neuroscience Portfolio-Gurgaon,Medtronic,Gurugram,3-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,TrainingApplication supportSalesCustomer satisfactionMarketing supportManager TechnologyHealthcareCustomer support
47,Lab Supervisor,Lupin Diagnostics Jayanagar,Muzaffarpur,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Waste managementCostingPublishingISOMISManager Quality ControlbiomedicalMonitoring
48,Lab Supervisor,Lupin Diagnostics Jayanagar,Murshidabad,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Waste managementCostingPublishingISOMISManager Quality ControlbiomedicalMonitoring
49,Lab Supervisor,Lupin Diagnostics Jayanagar,Mysuru,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Waste managementCostingPublishingISOMISManager Quality ControlbiomedicalMonitoring
50,Senior Dentist,Clove Dental,Chennai,2-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,cdscalingrctoral surgerydentistryrpdbleachingdiagnosis
51,Senior Dentist,Clove Dental,Ahmedabad,2-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,cdscalingrctoral surgerydentistryrpdbleachingdiagnosis
52,Pedodontist,Clove Dental,Chennai,1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Educational GuidanceClinical SupervisionLecturersClinical ExpertisePediatric DentistryCurriculum Development
53,Pedodontist,Clove Dental,Chennai,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Educational GuidanceClinical SupervisionLecturersClinical ExpertisePediatric DentistryCurriculum Development
54,Orthodontist,Clove Dental,Chennai,3-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,traumarctorthodonticsscalingorthopaedic surgerydentistryphysiotherapyorthopedics
55,Medical Scribes/Medical Transcriptionist,Genus Healthcare Solution And It Consulting,Mohali,1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,medical writingcomputer operatingproofertranscriptionmedical scribepharmacovigilancemedical underwritinghealthcare
56,Radiology Technician,Zydus Sitapur Hospital,Sitapur,1-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,RadiologyManager TechnologyTechnologyManagementTechnology management
57,Full Time Medical Officer,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,2-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Help DeskCustomer Servicecustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation
58,Sales Representative III CRM,Medtronic,Kolkata,6-9 Yrs,Not disclosed,17 Days Ago,2024-11-24,Direct salesMarket developmentPharmaMISHealthcareInstrumentationAccount managementCustomer relationship
59,Executive - Instrumentation,Torrent Pharmaceuticals,Dahej,4-9 Yrs,4-9 Lacs PA,17 Days Ago,2024-11-24,InstrumentationHMI ProgrammingHMIPLCInstrumentation EngineeringCalibrationField InstrumentationInstrumentation Maintenance
60,Staff Nurse/ Senior Staff Nurse (Female),Fortis,Manesar,18 Nov - 27 Nov,Not disclosed,18 Days Ago,2024-11-24,BSC NursingGNM NursingOT staff NurseDialysis Staff NurseICUMicuEmergencyICCU
61,Area Sales Manager - Critical Care Division in Lupin,Lupin,Remote,5-10 Yrs,5.5-8 Lacs PA,18 Days Ago,2024-11-24,SalesCritical CareInjectablesArea sales managementManagementArea sales
62,Territory Business Manager,Dr Reddys Path Labs,Jaipur,3-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Supply chainInterpersonal skillsData managementAnalyticalMarket intelligenceGeneticsCMEPharmaceutical sales
63,Area Business Manager,Dr Reddys Path Labs,Ahmedabad,2-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Market developmentProject managementAnalyticalPharmacyPharma marketingHealthcareOncologyGenetics
64,Psychiatrists,VAZHIKATTI MENTAL HEALTH CENTRE RESEARCH INSTITUTE,Coimbatore,1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,PsychiatristsPsychiatry
65,Clinical Psychologists,VAZHIKATTI MENTAL HEALTH CENTRE RESEARCH INSTITUTE,Coimbatore,1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Clinical PsychologistsClinical PsychologyClinicalPsychology
66,Branch Manager,Dentedge Dental Care Centre,Ranchi,8-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Stock managementRevenue enhancementMISMarket intelligenceBusiness planningCompetitive intelligenceFreightCRM
67,Regional Manager,Abbott,Kolkata,4-9 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Administration StaffBudgetingSalesforceRegional managementStaff administrationManagementRegionalAdministration
68,Senior Dentist,Clove Dental,Chennai,2-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,cdscalingrctdentistryrpdbleachingcappingdiagnosis
69,Territory Manager,Dr Reddys Path Labs,Ahmedabad,2-5 Yrs,Not disclosed,19 Days Ago,2024-11-24,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy
70,Sales Representative I-Guwahati-STI,Medtronic,Guwahati,1-7 Yrs,Not disclosed,19 Days Ago,2024-11-24,Direct salesMarket developmentSales strategySales RepresentativeSales entryHealthcareMarket researchTalent management
71,Area Business Manager in OTC Division,Lupin,Remote,5-8 Yrs,5.5-8 Lacs PA,19 Days Ago,2024-11-24,Otc SalessalesPharmaceutical SalesOTCManagementPharmaceutical
72,Security Manager,PRARTHANA HOSPITAL RESEARCH CENTRE,Guwahati,5-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Data analysisInterpersonal skillsRelationship buildingManager TechnologyBudgetingMS OfficeSecurity operationsPSP
73,"Registered Nurse - ICU, Wards & OT",PRARTHANA HOSPITAL RESEARCH CENTRE,Guwahati,2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,NursingRelationship buildingStaff NurseRegistered NurseICUManagementDoctorHMS
74,Customer Service Executive,PRARTHANA HOSPITAL RESEARCH CENTRE,Guwahati,2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,BPOExcelTranscriptionRelationship buildingCustomer serviceITESCustomer complaintsMS Office
75,Account Executive,PRARTHANA HOSPITAL RESEARCH CENTRE,Guwahati,2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,TallyBank reconciliationGeneral accountingAccountingCommerceMIS preparationAccounts ExecutiveMS Office
76,Licensed Clinical Psychologist,Karma Center For Counselling & Wellbeing,"New Delhi, Ahmedabad",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,PsychologyPackagingHTMLCounsellingLicensingClinical
77,Area Sales Manager,Dr Reddys Path Labs,Kochi,4-10 Yrs,Not disclosed,19 Days Ago,2024-11-24,Product launchReport generationInterpersonal skillsSales strategyAnalyticalRelationship buildingPharmaArea sales
78,Guest Relations Associate || Front Office || Billing Desk || Telecom,Manipal Hospitals,Ranchi,2-5 Yrs,Not disclosed,19 Days Ago,2024-11-24,Communication SkillsGuest HandlingTelecomFront OfficeBillingHandlingGuest relationsDesk
79,Customer Sales & Support Specialist,Reagent Easyhealth LLP - Sales partner of Thyrocare,Noida(Sector-1 Noida),1-5 Yrs,3-4.25 Lacs PA (Including Variable: 20.0%),19 Days Ago,2024-11-24,Email SupportInbound CallsChat SupportOutbound CallingOutboundHealthcare MarketingSales ProcessCalls Handling
80,Zonal Manager - Pathology Lab,Roche Diagnostics,Chennai,5-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,DiagnosticsBusiness analysisBusiness Development ManagerPharmaSales analysisHealthcareOncologyBudgeting
81,Women in Pharma Rx Sales -N,Dr Reddys Path Labs,Nagpur,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Product managementProduct launchExpense managementPharmaAnalyticalConsultingGeneticsMarketing strategy
82,Area Business Manager,Abbott,Guwahati,2-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,area sales managementchannel salesbusiness developmentmentoringretail salescorporate salessalesbrand management
83,Territory Manager - Specialty,Tuli Diagnostic Centre,Amritsar,2-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Consumer researchUsageMonitoringManagementTerritoryConsumerResearchTerritory management
84,Sr.Executive - CAPA,Abbott,Jhagadia,2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Supply chainExecutiveNutritionCostMonitoringSupplyCapa
85,Phlebotomist cum FOE,Tuli Diagnostic Centre,Amritsar,1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Front deskManager Quality AssuranceDiagnosticsManager TechnologyCustomer handlingdeskmanagementtechnology management
86,Lab Technician,Tuli Diagnostic Centre,Amritsar,2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,PathologyManager Quality AssuranceChemicalTranscriptionDiagnosticsManager TechnologyManager Quality Controlquality management
87,Territory Manager - Specialty,Tuli Diagnostic Centre,Amritsar,10-14 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Territory Manager - Specialtyterritory managementmanagementterritory
88,Admin Assistant,Hindustan Latex Family Planning Promotion Trust (HLFPPT),"Vijayawada, Visakhapatnam, Guntur, Nellore",1-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,AdministrationAprCSRRegional CoordinatorSite CoordinatorTechnical supportAdministrative assistanceSite coordination
89,Area Sales Manager - Acute Division in Lupin,Lupin,Remote,5-10 Yrs,5.5-8 Lacs PA,20 Days Ago,2024-11-24,SalesAcuteGeneralOrthoManagementArea sales managementArea sales
90,Lab Assistant,Nucleus The Diagnostics Centre,Bankura,1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,pharmaceuticallab testingpathologyquality controlsoftware testingudscanoemicrobiology
91,Receptionist,Nucleus The Diagnostics Centre,Bankura,1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,front deskcomputer operatingtranscriptionadministrationback officereceptionist activitiesoffice assistanceoffice administration
92,LEARNING SITE COORDINATOR,Hindustan Latex Family Planning Promotion Trust (HLFPPT),"Korba, Raigarh, Bhilai, Bilaspur, Raipur",5-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,MS Office packageAdministration managementCProject managementMSMStrategic planningSACSFinancial management
93,Download,Hindustan Latex Family Planning Promotion Trust (HLFPPT),Jaisalmer,3-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ProcurementAdministrationSupply chain managementNursingNutritionProject managementHealthcarebiomedical
94,Bsc Nurses / GNM,Buddha Cancer Centre,Patna,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,patient safetyopdbiotechnologygnmmicrobiologynursingmedication administrationhospital administration
95,Counsellor,Birla Fertility IVF,Ranchi,3-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,CounsellorPDFBillingManagementCounselling
96,Pharmacist,GCS Medical College Hospital &amp;amp; Research Centre,"Jamnagar, Ahmedabad, Rajkot, Surat, Vadodara",1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,PharmacistPharmacy
97,Supply Chain Program Manager,Medtronic,Gurugram,5-9 Yrs,Not disclosed,30+ Days Ago,2024-11-24,ProcurementSupply chainProduction planningProject managementHealthcareInventory controlManager Quality ControlOutsourcing
98,Therapy Business Manager,Abbott,Lucknow,1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,TrainingBrand AmbassadorPharmaAnalyticalRelationship buildingSupervisionSalesforcePharmaceutical
99,PHARMACY IN-CHARGE,Estfort Hi-tech Hospital,Thrissur,1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,pharmaceuticalinventory controlpharmaceuticssupply chainpurchasemedicinepatient careinventory
100,Medical Officer,R. K. Devi Eye Research Institute,Kanpur,2-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,BiotechnologyPatient careHealthcareOptometryCounsellingMedical
101,MARKETING MANAGER,R. K. Devi Eye Research Institute,Kanpur,4-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,marketing executivedistributorscustomer profilingsales strategymarket researchBusiness Developmentsales executiveMarketing
102,Technician - Cardiac Anesthesiology,Aster Pharmacy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,anesthesiologyCardiac
103,Marketing Executive (Medical Representative),Tablets India Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,medical writingmedical salespharmaceuticalpharma marketingbusiness developmentmedical affairspharmacovigilancesales
104,Desktop Support Engineer,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,peripheralsoperating systemsnetworkingsoftware installationpc maintenancehardware maintenancedesktopclient support
105,Junior Staff Nurse,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,pharmaceuticalopdhealth care servicesemergency medicinegnmmedicinenursingpatient care
106,Staff Nurse. Nursing Services,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,opdemergency medicinehealth care servicesgnmnursingmedicinepatient caregeneral medicine
107,Marketing Executive,Tablets India Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,visualforcebrandingsfdcbusiness developmentadvertisingtriggerstrackingdashboards
108,Resident Medical Officer,Holy Spirit Hospital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,opdhealth care servicesemergency medicinepatient relationsmedicinemedical serviceshospital administrationpatient care
109,Technician,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,repairproductionpreventive maintenancemaintenance engineeringequipmentroutine maintenanceplant operationselectricals
110,Trainee. Laboratory.Aster Labs,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,project managementquality controlsoftware testingplcpreventive maintenancemaintenance engineeringequipment maintenancelab
111,Associate - Purchase,Aster Pharmacy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30 Days Ago,2024-11-24,Associate.Purchase.Aster MIMS KannurPurchase
112,Junior Staff Nurse,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30 Days Ago,2024-11-24,opdgnmnursingmedicinepatient carehealthcareindustrial safetysafety management
113,Associate.Billing,Aster Pharmacy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,insuranceaccounts receivablehealth insuranceus healthcareinsurance claimspivot tableinvoice processingauditing
114,Junior Technician.Anaesthesiology,Aster Pharmacy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Not disclosed,30+ Days Ago,2024-11-24,erectionrepairproductionplcpreventive maintenanceequipmentbreakdown analysiselectricals
115,Staff Nurse - Nursing Services,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,scalinghealth care servicesemergency medicineadministrationgnmcritical carenursingmedication administration
116,Junior Staff Nurse - Nursing Services,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,health care servicesgnmnursingmedicinehospital administrationpatient carehealthcareoperation theatre
117,Digital Marketing Coordinator,RG Stone Urology & Laparoscopy Hospital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Campaign planningPDFNetworkingEvent managementMarketing campaignsMarketing CoordinatorMarket researchCME
118,Junior Radiographer.Radiology,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,mrictmammographyradiologyradio diagnosisimagingct scansccmCT
119,Associate.Billing,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Billing
120,Clinical Data Manager II,Innovaderm Research,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",10-20 Yrs,Not disclosed,9 Days Ago,2024-11-24,BiometricsCROManager IIclinical dataClinical data managementData managementManagementClinical
121,Electrical Data Center Engineer,CAI,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Not disclosed,9 Days Ago,2024-11-24,SubstationAutomationSwitchgearTest scriptsProject managementConsultingLife sciencesOperations
122,Marketing Representative,Smartway Enterprises,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-6 Yrs,Not disclosed,9 Days Ago,2024-11-24,Sales RepresentativeMINMarketing RepresentativePharmaFMCG marketingOTCSalesMarketing
123,Customer Success Manager,Velsera,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Not disclosed,9 Days Ago,2024-11-24,upsellingcustomer relationshiprelationship managementonboardingcustomer interactioncsmRelationshipCustomer focus
124,Staff Nurse,Motherhood Womens Child Care Hospital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,Not disclosed,9 Days Ago,2024-11-24,cssuxprototypinguser interface designingui developmentphotoshopbootstrapjavascript
125,Manager.Procurement,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Not disclosed,9 Days Ago,2024-11-24,vendor managementprocurement managementlogistics managementpurchaselogisticsvendor development managementsourcingpurchase management
126,Financial Analyst Pool - Analyst,Cushman Wakefield,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Not disclosed,9 Days Ago,2024-11-24,HospitalityCareer developmentExcelFinancial analysisUnderwritingMarket researchCash flowData quality
127,Back-end Developer,Steer Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Not disclosed,9 Days Ago,2024-11-24,BackendNoSQLDatabase designGCPAutomation toolsJavascriptHealthcareDeployment
